CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,Status,Low Cost Textbook,Capacity,Enrolled,Instructor Type,Term
9413,THEA 499,3,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Ryan Bible,-1,CLOSED,,0,1,Full Time,Fall Semester 2022
8996,SPAN 200,18R,Eff Comm in Spanish,3,"GE, LETR, LLF, LLFL, PROF",Lec,MWF,1100-1150,Lewis McMurran Hall 160,Camelia Deller,4,OPEN,,19,15,Adjunct,Fall Semester 2020
8033,AMST 345,1,American Epidemics & Constitut,3,"LDSP, LOW",Lec,TR,1500-1615,Ferguson Center for the Arts 221,William Mims,-1,CLOSED,YES,10,11,,Spring Semester 2026
9200,TRPT 334,1,Applied Music: Trumpet,2,APPL,Lab,,-,To Be Arranged ,Kelly Rossum,-1,CLOSED,,0,1,Full Time,Spring Semester 2026
8667,HONR 040,1,Fourth Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,49,49,Full Time,Spring Semester 2021
9025,SOWK 401,3,Field Instruction I,6,,Pra,W,1200-1350,To Be Arranged ,Jill Russett,1,OPEN,,8,7,Adjunct,Fall Semester 2026
9328,BUSN 231,8,Applied Business Statistics,3,,Lec,TR,0800-0915,Joseph W. Luter III Hall 123,Phillip Bazzani,1,OPEN,,24,23,Adjunct,Spring Semester 2021
8153,BUSN 231,6,Applied Business Statistics,3,,Lec,TR,1630-1745, ,CNU Staff,30,OPEN,,30,0,,Spring Semester 2027
8450,PHYS 141,2M,How Things Work,3,"AINW, XNAT",Lec,TR,0930-1045,Joseph W. Luter III Hall 170,Leon Cole,1,OPEN,,45,44,Full Time,Fall Semester 2023
9023,SOWK 401,1,Field Instruction I,6,,Pra,M,1200-1350,To Be Arranged ,Diane Griffiths,1,OPEN,,8,7,Adjunct,Fall Semester 2026
8138,BIOL 491,3,WI: Senior Seminar,1,WI,Lec,W,1200-1250,Forbes Hall 1027,Jenn Knies,-1,CLOSED,,7,8,Full Time,Fall Semester 2026
8797,PHIL 425,1,Constitutional Theory,3,,Lec,TR,1330-1445,Lewis McMurran Hall 200B,Matthew Homan,6,OPEN,,18,12,Full Time,Fall Semester 2023
8803,BIOL 491,4,WI: Senior Seminar,1,WI,Lec,M,1200-1250,Forbes Hall 3048,Jenn Knies,3,OPEN,,7,4,Full Time,Fall Semester 2021
8981,SPAN 200,ON4,Eff Comm in Spanish,3,"GE, LETR, LLF, LLFL, PROF",Lec,MWF,0900-0950,Synchronous Online Course ,Lauren Reynolds,1,OPEN,,21,20,Full Time,Fall Semester 2020
9435,THEA 499,4,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Colin Ruffer,-1,CLOSED,,0,1,Full Time,Spring Semester 2023
8843,HIST 317,1,Europe Since 1945,3,"AIII, EURO, LETR, XHIS",Lec,MW,1600-1715,Lewis McMurran Hall 312,Brian Puaca,1,OPEN,,19,18,Full Time,Spring Semester 2022
8619,LATN 303,1,Roman Orators,3,"LLF, LLFL, LOW",Lec,MWF,1100-1150,Lewis McMurran Hall 216,Brad Buszard,13,OPEN,YES,15,2,Full Time,Fall Semester 2025
9311,VOIC 133,1,Applied Music: Voice,2,APPL,Lab,,-,To Be Arranged ,Rachel Holland,-1,CLOSED,,0,1,Full Time,Fall Semester 2026
8775,BUSN 231,2,Applied Business Statistics,3,,Lec,TR,1500-1615,Joseph W. Luter III Hall 105,Shannon Sixbey,0,CLOSED,,27,27,Adjunct,Fall Semester 2024
9169,PCSE 541,1,Modeling and Simulation,3,,Lec,MWF,1400-1450,Joseph W. Luter III Hall 204,Edward Brash,1,OPEN,,5,4,Full Time,Fall Semester 2026
8806,BIOL 491,7,WI: Senior Seminar,1,WI,Lec,W,1700-1750,Forbes Hall 1009,Brittany Dorsey,2,OPEN,,7,5,Adjunct,Fall Semester 2021
8141,BIOL 491,9,WI: Senior Seminar,1,WI,Lec,W,0900-0950,Forbes Hall ,Janet Steven,7,OPEN,,7,0,Full Time,Spring Semester 2027
8967,PHIL 304,1,Ethics/Current Value Questions,3,"LETR, PROF",Lec,TR,1100-1215,Lewis McMurran Hall 200B,Matthew Homan,1,OPEN,,18,17,Full Time,Spring Semester 2023
9243,POLS 329,2,International Human Rights,3,,Lec,TR,1330-1445,Lewis McMurran Hall 210,Francesca Parente,2,OPEN,,26,24,Full Time,Fall Semester 2021
8075,BIOL 307,1,Cell Biology,3,,Lec,TR,0930-1045,Forbes Hall 2070E,Chris Meighan,5,OPEN,,48,43,Full Time,Fall Semester 2022
9241,CLST 395,1,Special Topics,1,,Lec,MWF,1300-1350,Forbes Hall 2015,Brad Buszard,3,OPEN,,18,15,Full Time,Fall Semester 2020
9125,CRIM 395,1,Special Topics,1,,Lec,M,1500-1750,Forbes Hall 3012,Steven Keener,-12,CLOSED,,15,27,Full Time,Spring Semester 2026
8104,PHYS 152L,1,College Physics II Laboratory,1,"AINW, GE, OR, XNAT",Lab,R,1800-2045,Joseph W. Luter III Hall 310,Jose Fernandez,7,OPEN,,33,26,Adjunct,Fall Semester 2020
9052,FREN 202,1,Intermediate French II,3,"GE, LETR, LLF, LLFL, PROF",Lec,TR,1330-1445,Lewis McMurran Hall 257,Sharon Larson,10,OPEN,,19,9,Full Time,Spring Semester 2022
8812,CRIM 365,2,Social Change and Policy,3,,Lec,MWF,1000-1050,Joseph W. Luter III Hall 167,Michael Lewis,-1,CLOSED,,12,13,Full Time,Fall Semester 2024
8666,MUSC 127,1,Ensemble Accompanying,1,,Lab,,-,To Be Arranged ,Ben Corbin,16,OPEN,,19,3,Full Time,Spring Semester 2025
9203,CYBR 495,1,Special Topics,1,,Lec,MW,1930-2045,Joseph W. Luter III Hall 323,Darren Spencer,11,OPEN,,24,13,Adjunct,Fall Semester 2026
8636,ECON 300,2,Quantitative Methods in ECON,3,,Lec,MWF,1000-1050,Forbes Hall 2014,Alex Hamed,0,CLOSED,,17,17,Full Time,Fall Semester 2023
9257,LDSP 320,ON6,Leadership Through the Ages,3,,Lec,TR,0930-1045,Synchronous Online Course ,Lori Throupe,2,OPEN,,28,26,Full Time,Fall Semester 2020
9289,CRIM 357,2,Incarceration and Punishment,3,,Lec,TR,1630-1745,Lewis McMurran Hall 262,Steven Keener,0,CLOSED,,19,19,Full Time,Fall Semester 2020
8481,HONR 030,1,Third Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,49,49,Full Time,Fall Semester 2021
8321,MUSC 312,1,"Extend Tonal Tech, Lrg Frms,",3,LETR,Lec,MWF,1100-1150,Ferguson Center for the Arts 210,Chelsey Hamm,10,OPEN,,19,9,Full Time,Spring Semester 2022
9015,LDSP 320,7,Leadership Through the Ages,3,,Lec,TR,0930-1045,Ferguson Center for the Arts 221,Shalyn Lapke,12,OPEN,,19,7,Full Time,Spring Semester 2022
8117,MKTG 310,2,Interactive Marketing,3,,Lec,TR,0930-1045,Joseph W. Luter III Hall 109,Dae-Hee Kim,0,CLOSED,,24,24,Full Time,Spring Semester 2022
9060,BIOL 407L,1,General Ecology Laboratory,0,,Lab,R,1330-1720,Forbes Hall 2051,Gary Whiting,3,OPEN,,24,21,Full Time,Fall Semester 2021
9246,ANTH 395,1,Special Topic,3,,Lec,M,1800-2045,Joseph W. Luter III Hall 376,Perla Santillan,-2,CLOSED,,10,12,Adjunct,Fall Semester 2022
8033,COMM 325,1,Persuasion,3,"CMPH, LETR",Lec,TR,1100-1215,Ferguson Center for the Arts 220,Scott Smith,0,CLOSED,,19,19,Full Time,Fall Semester 2023
8965,LATN 200,1R,Latin and Its Living Legacy,3,"GE, LETR, LLF, LLFL, PROF",Lec,MWF,1300-1350,Lewis McMurran Hall 310,Brad Buszard,1,OPEN,,23,22,Full Time,Fall Semester 2023
8294,PHIL 205,1,The Anatomy of Thought,3,"AIIF, LETR, LLFR, LOW, XPRS",Lec,TR,1500-1615,Lewis McMurran Hall 101,Eric Silverman,28,OPEN,YES,95,67,Full Time,Spring Semester 2024
8333,HONR 020,3,Second Year Activities,0,"HON, LOW",Fie,,-,To Be Arranged ,Jay Paul,11,OPEN,YES,49,38,Full Time,Spring Semester 2024
8274,ENGL 210,1,Introduction to Journalism,3,,Lec,MWF,1300-1350,Lewis McMurran Hall 207,Cynthia Davis,0,CLOSED,,19,19,Full Time,Spring Semester 2023
9174,CPSC 110,5M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1300-1350,Joseph W. Luter III Hall 258,Kimberly Davis,3,OPEN,,45,42,Full Time,Fall Semester 2023
8784,MUSC 250,1,String Instrument Techniques,1,LETR,Lab,TR,1500-1615,Ferguson Center for the Arts A182,Will Hederer,15,OPEN,,19,4,Adjunct,Spring Semester 2023
9052,HONR 310,3,300-Level Seminar,3,HON,Lec,TR,0930-1045,Lewis McMurran Hall 207,Sharon Larson,1,OPEN,,19,18,Full Time,Fall Semester 2025
9100,COLL 141,3,Student Success Seminar,1,,Lec,W,1730-1820,Forbes Hall 2014,Emily Gingrich,-21,CLOSED,,0,21,Adjunct,Fall Semester 2026
8591,HIST 312,1,Ancient Egypt,3,"LETR, OTHR",Lec,W,1800-2100,Lewis McMurran Hall ,A.R. Santoro,18,OPEN,,18,0,Full Time,Spring Semester 2027
9338,MATH 499,2,Independent Research,1,"LLF, LLFM",Ind,,-,To Be Arranged ,George Kuster,-1,CLOSED,,0,1,Full Time,Fall Semester 2025
8610,HONR 030,2,Third Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,0,0,Full Time,Spring Semester 2027
2016,CPSC 110,ON1,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,,-,Asynchronous Online Course ,Kimberly Davis,8,OPEN,,24,16,Full Time,May Term 2026
8680,LDSP 320,1,Leadership Through the Ages,3,LDSP,Lec,MWF,1000-1050,Forbes Hall 3012,Rachel Wagner,0,CLOSED,,24,24,Full Time,Fall Semester 2026
8704,PHIL 205,1,The Anatomy of Thought,3,"AIIF, LETR, LLFR, XPRS",Lec,MWF,1100-1150,Lewis McMurran Hall 160,Eric Silverman,1,OPEN,,25,24,Full Time,Spring Semester 2022
8097,PHYS 151,3,College Physics I,3,"AINW, GE, NSCI, SCIE, XNAT",Lec,MW,1800-1915,Joseph W. Luter III Hall 121,Martin McHugh,33,OPEN,,99,66,Adjunct,Fall Semester 2021
9141,AMST 395,1,Special Topics,3,,Ind,TR,1800-1915,Lewis McMurran Hall 357,William McCarthy,-5,CLOSED,,0,5,Adjunct,Spring Semester 2024
9437,MATH 499,3,Independent Research,1,"LLF, LLFM",Ind,,-,To Be Arranged ,Iordanka Panayotova,-1,CLOSED,,0,1,Full Time,Fall Semester 2023
8677,MATH 131,1,Math for the Life Sciences,3,"LLF, LLFM, LOW",Lec,MWF,1400-1450,Joseph W. Luter III Hall 376,Brian Bradie,1,OPEN,YES,25,24,Full Time,Spring Semester 2026
8908,BIOL 440L,1,Herpetology Laboratory,0,,Lab,M,1300-1650,Forbes Hall 2043,Matthew Lattanzio,0,CLOSED,,19,19,Full Time,Spring Semester 2023
9046,MKTG 310,1,Consumer Behavior,3,,Lec,TR,1100-1215,Joseph W. Luter III Hall 142,Dae-Hee Kim,3,OPEN,,23,20,Full Time,Spring Semester 2024
9205,THEA 210,4,The Dramatic Impulse,3,"AICE, HUMN, LETR, XTHE",Lec,MWF,1000-1050,Ferguson Center for the Arts T132,David Shuhy,13,OPEN,,26,13,Full Time,Spring Semester 2021
8271,THEA 336,1,Fundamentals of Play Directing,3,"LETR, LOW",Lec,TR,1100-1215,Ferguson Center for the Arts T107,Denise Gillman,4,OPEN,YES,14,10,Full Time,Spring Semester 2024
8347,CRIM 354,1,Policing in the 21st Century,3,,Lec,W,1800-2045,Forbes Hall 3014,Nick Devlin,0,CLOSED,,24,24,Adjunct,Spring Semester 2026
8202,COMM 335,1,Rhetoric and Politics,3,CMPH,Lec,M,1930-2215,Joseph W. Luter III Hall 139,Chris Connelly,2,OPEN,,19,17,Adjunct,Spring Semester 2025
2028,FNAR 205,ON1,Digital Photography,3,AICE,Lab,MTWRF,0900-1215,Hybrid Online Course ,Kristin Kiser,6,OPEN,,16,10,Full Time,May Term 2021
8810,CRIM 357,1,Incarceration and Punishment,3,,Lec,M,1800-2045,Joseph W. Luter III Hall 170,LaQuana Askew,3,OPEN,,24,21,Adjunct,Fall Semester 2024
8319,ENGL 315,1,Adolescent Literature,3,"AIII, LETR, XENG",Lec,TR,1800-1915,Lewis McMurran Hall 360,Kara Keeling,8,OPEN,,25,17,Full Time,Spring Semester 2023
8127,MGMT 355,1,Management Science,3,,Lec,MWF,0900-0950,Joseph W. Luter III Hall 105,Emre Kirac,0,CLOSED,,19,19,Full Time,Spring Semester 2022
8758,RSTD 212,6,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,TR,1500-1615,Lewis McMurran Hall 200D,Richard Freund,0,CLOSED,,18,18,Full Time,Spring Semester 2022
8052,BIOL 113,1M,Topics in Medicine and Health,3,"AINW, XNAT",Lec,MW,1800-1915,Forbes Hall 2070D,Lisa Webb,3,OPEN,,48,45,Full Time,Fall Semester 2023
9469,MATH 499,2,Independent Research,1,"LLF, LLFM",Ind,T,0900-1000,To Be Arranged ,Jessica Kelly,-1,CLOSED,,0,1,Full Time,Fall Semester 2020
9182,COLL 141,10,Student Success Seminar,1,,Lec,W,0900-0950,Joseph W. Luter III Hall 170,Brian Larson,3,OPEN,,27,24,Adjunct,Fall Semester 2025
8876,SOCL 340,1,Statistics for Social Research,3,LOW,Lec,MW,1600-1715,Joseph W. Luter III Hall 157,Andrew Baird,2,OPEN,YES,24,22,Full Time,Spring Semester 2025
8807,RSTD 212,2C,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1500-1550,Lewis McMurran Hall 260,Kerry Fallon,0,CLOSED,,24,24,Adjunct,Fall Semester 2023
8922,PSYC 315,1,Psychopathology,3,,Lec,TR,1330-1445,Forbes Hall 2070C,Earl Riggins,2,OPEN,,35,33,Full Time,Spring Semester 2026
8903,ACCT 451,1,Govt & Not for Profit Accnting,3,,Lec,TR,0930-1045,Joseph W. Luter III Hall 137,Veronique Frucot,5,OPEN,,15,10,Full Time,Fall Semester 2021
8826,ENGL 341,1,The Invasion of America,3,LETR,Lec,MWF,1300-1350,Lewis McMurran Hall 162,Andrew Rose,13,OPEN,,25,12,Full Time,Fall Semester 2021
8826,ENGL 341,1,America's Early Voices & Lit,3,LETR,Lec,MWF,1300-1350,Lewis McMurran Hall 162,Andrew Rose,13,OPEN,,25,12,Full Time,Fall Semester 2021
8294,HONR 020,ON3,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,25,OPEN,,49,24,Full Time,Fall Semester 2020
8387,CRIM 357,ON1,Incarceration and Punishment,3,,Lec,W,1800-2045,Synchronous Online Course ,Steven Keener,0,CLOSED,,19,19,Full Time,Spring Semester 2021
9289,HORN 434,1,Applied Music: Horn,2,APPL,Lab,,-,To Be Arranged ,Stephen Slater,-1,CLOSED,,0,1,Adjunct,Spring Semester 2022
9112,MUSC 107,1,Opera CNU,1,"GE, OR",Lab,MWF,1500-1700,Ferguson Center for the Arts A183,John McGuire,10,OPEN,,19,9,Full Time,Fall Semester 2021
8044,HONR 020,1,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,1,OPEN,,49,48,Full Time,Spring Semester 2022
8276,CRIM 357,1,Incarceration and Punishment,3,LOW,Lec,TR,1500-1615,Forbes Hall 2070A,Steven Keener,-4,CLOSED,YES,24,28,Full Time,Spring Semester 2025
8257,CRIM 354,1,Policing in the 21st Century,3,,Lec,T,1800-2045,Joseph W. Luter III Hall 121,Nick Devlin,1,OPEN,,27,26,Adjunct,Fall Semester 2025
8662,FNAR 201,ON1,World Art in Context I,3,"AICE, LETR, XFAH",Lec,MWF,0900-0950,Synchronous Online Course ,Rosa Motta,3,OPEN,,99,96,Full Time,Fall Semester 2020
9312,MLSC 202,2,Foundat of Tactical Leadership,2,,Ind,,-,To Be Arranged ,Andrew Futscher,-2,CLOSED,,0,2,,Spring Semester 2026
8268,COMM 325,1,Persuasion,3,"CMPH, LETR",Lec,MWF,1200-1250,Joseph W. Luter III Hall ,Scott Smith,19,OPEN,,19,0,Full Time,Spring Semester 2027
8540,BIOL 211,4,Principles of Biology I,3,,Lec,TR,1100-1215,Forbes Hall 2015,Gwynne Brown,1,OPEN,,48,47,Full Time,Spring Semester 2024
8069,BIOL 211,1,Principles of Biology I,3,,Lec,MWF,0800-0850,Forbes Hall 3012,Jessica Burket,4,OPEN,,19,15,Full Time,Spring Semester 2021
8798,SPAN 353,1,Beyond Borders,3,"AIWT, LLF, LLFL",Lec,TR,1330-1445,Lewis McMurran Hall 357,Andrea Pauw,8,OPEN,,19,11,Full Time,Fall Semester 2022
3021,PHIL 326,ON1,WI: Philosophy in the Movies,3,"LETR, WI",Lec,,-,Asynchronous Online Course ,Eric Silverman,6,OPEN,,18,12,Full Time,Summer Term 1 2021
8619,HONR 310,7,300-Level Seminar,3,HON,Lec,MWF,1400-1450,Lewis McMurran Hall ,John Thompson,0,CLOSED,,0,0,Full Time,Spring Semester 2027
8295,HONR 020,ON4,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,31,OPEN,,49,18,Full Time,Fall Semester 2020
8362,PSYC 315,1,Psychology-Abnormal Behavior,3,,Lec,TR,0930-1045,Forbes Hall 2074,Earl Riggins,30,OPEN,,45,15,Full Time,Fall Semester 2024
4049,TCHG 543,4,Classroom Mgmt and Discipline,2,,Lec,MTW,1200-1415,Forbes Hall 2012,Jean Filetti,9,OPEN,,18,9,Full Time,Summer Term II 2023
8476,BIOL 113,1,Topics in Medicine and Health,3,"AINW, XNAT",Lec,MW,1800-1915,Forbes Hall 2015,John Bedford,0,CLOSED,,48,48,Adjunct,Spring Semester 2022
4014,HIST 276,S13,The Study of History Abroad,3,,Lec,,-,To Be Arranged ,Andrew Falk,4,OPEN,,18,14,Full Time,Extended Summer 2022
8486,BIOL 313,1,Genetics,3,,Lec,TR,1800-1915,Forbes Hall 1022,James Bogenpohl,4,OPEN,,95,91,Full Time,Spring Semester 2022
9109,COLL 141,12,Student Success Seminar,1,,Lec,T,0930-1020,Lewis McMurran Hall 310,Nicole Emmelhainz,-24,CLOSED,,0,24,Full Time,Fall Semester 2026
8653,FNAR 201,5C,World Art in Context I,3,"AICE, LETR, XFAH",Lec,TR,1800-1915,Torggler Fine Arts Center 205,Ryan Peck,1,OPEN,,25,24,Adjunct,Fall Semester 2023
9142,ANTH 395,1,Special Topic,3,CAPP,Lec,MWF,1400-1450,Forbes Hall 3012,Chris Loy,-3,CLOSED,,12,15,Adjunct,Spring Semester 2024
9182,BUSN 101,4,Introduction to Business,3,,Lec,TR,1100-1215,Joseph W. Luter III Hall 123,Lani Faith Gacula,-3,CLOSED,,30,33,Full Time,Fall Semester 2026
8938,RSTD 212,4M,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,W,1800-2045,Lewis McMurran Hall 360,Graham Schweig,1,OPEN,,30,29,Full Time,Fall Semester 2025
8556,FNAR 201,1M,World Art in Context I,3,"AICE, LETR, XFAH",Lec,MWF,0900-0950,Torggler Fine Arts Center 205,Kelly O'Connor-Salomon,0,CLOSED,,25,25,Adjunct,Fall Semester 2025
8546,BIOL 426,1,Human Biomechanics,3,,Lec,MWF,0800-0850,Forbes Hall 2070C,Zidong Li,14,OPEN,,24,10,Full Time,Spring Semester 2023
8982,RSTD 212,2,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1300-1350,Lewis McMurran Hall 162,John Thompson,0,CLOSED,,24,24,Full Time,Fall Semester 2026
9199,HEAL 100,1,Personal Wellness: Life Skills,3,,Lec,TR,1500-1615,Science & Engineering Research 2289,Alice Veksler,24,OPEN,,24,0,Full Time,Fall Semester 2026
8799,CYBR 498,1,WI: Cyber Security Capstone,3,WI,Lec,TR,1330-1445,Joseph W. Luter III Hall 322,Scott McElfresh,4,OPEN,,6,2,Full Time,Fall Semester 2024
8647,POLS 357,1,Classical Political Thought,3,,Lec,TR,0930-1045,Lewis McMurran Hall 360,Benjamin Lynerd,7,OPEN,,25,18,Full Time,Spring Semester 2022
9430,SAXO 130,1,Applied Music: Saxophone,1,APPL,Lab,,-,To Be Arranged ,Jason Hammers,-1,CLOSED,,0,1,Adjunct,Spring Semester 2021
8160,PSYC 315,3,Psychopathology,3,,Lec,MW,1600-1715,Forbes Hall 2070D,Courtney Mozo,15,OPEN,,45,30,Adjunct,Fall Semester 2021
8829,PSYC 315,1,Psychopathology,3,,Lec,TR,0930-1045,Forbes Hall 2074,Michelle Lange,2,OPEN,,45,43,Full Time,Spring Semester 2023
8216,BIOL 211,1M,Principles of Biology I,3,,Lec,TR,1100-1215,Forbes Hall 2070E,Gwynne Brown,2,OPEN,,48,46,Full Time,Fall Semester 2024
8273,THEA 351,1,Tech Theater II,3,"LETR, LOW",Lec,TR,0930-1045,Ferguson Center for the Arts 223,Tanya Sweet,6,OPEN,YES,18,12,Full Time,Spring Semester 2024
9048,ENGL 340,1,Science Journalism,3,,Lec,MWF,1000-1050,Lewis McMurran Hall 357,Andrew Rose,15,OPEN,,19,4,Full Time,Fall Semester 2023
8419,SOCL 340,2,Statistics for Social Research,3,,Lec,MWF,1400-1450,Joseph W. Luter III Hall 157,Andrew Baird,-1,CLOSED,,17,18,Full Time,Spring Semester 2022
8079,CPSC 110,4,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1400-1450,Joseph W. Luter III Hall 258,Kimberly Davis,3,OPEN,,44,41,Full Time,Spring Semester 2023
8506,LDSP 320,7,Leadership Through the Ages,3,,Lec,TR,1330-1445,Paul & Rosemary Trible Library 208,Kat Callahan,0,CLOSED,,26,26,Full Time,Fall Semester 2022
8888,SOWK 374,1,Substance Use & Addiction,3,LOW,Lec,MWF,1300-1350,Forbes Hall 2070E,Laine Briddell,0,CLOSED,YES,5,5,Full Time,Spring Semester 2025
8080,BIOL 310L,1,Plant Systematics Lab,0,,Lab,M,1300-1650,Forbes Hall 1033,Janet Steven,6,OPEN,,21,15,Full Time,Fall Semester 2025
8328,CPSC 360,1,Programming Language Concepts,3,,Lec,MWF,0900-0950,Joseph W. Luter III Hall ,Daniel Belsky,24,OPEN,,24,0,Full Time,Spring Semester 2027
8817,MGMT 355,ON1,Management Science,3,,Lec,TR,1100-1215,Synchronous Online Course ,Bob Hasbrouck,0,CLOSED,,38,38,Full Time,Spring Semester 2021
8850,RSTD 212,2,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1100-1150,Lewis McMurran Hall 200C,John Thompson,0,CLOSED,,18,18,Full Time,Spring Semester 2025
8367,CPSC 360,1,Programming Language Concepts,3,,Lec,MWF,1000-1050,Joseph W. Luter III Hall 236,Roberto Flores,-6,CLOSED,,24,30,Full Time,Spring Semester 2021
8197,ENVS 545L,1,Mammalogy Lab,0,,Lab,M,1300-1650,Forbes Hall 2043,Rick Sherwin,1,OPEN,,5,4,Full Time,Fall Semester 2023
8594,HONR 020,3,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,25,OPEN,,49,24,Full Time,Spring Semester 2026
8688,LDSP 370,1,Leading in Healthcare Industry,3,"LDSP, LOW",Lec,TR,0930-1045,Ferguson Center for the Arts 220,Molly Camaioni,1,OPEN,YES,26,25,Full Time,Fall Semester 2026
8349,CRIM 357,2,Incarceration and Punishment,3,,Lec,TR,1800-1915,Forbes Hall 2074,Steven Keener,0,CLOSED,,29,29,Full Time,Spring Semester 2026
8248,MUSC 312,1,Music Theory IV,3,"LETR, LOW",Lec,MWF,1100-1150,Ferguson Center for the Arts 210,Chelsey Hamm,11,OPEN,YES,19,8,Full Time,Spring Semester 2024
9441,DANC 499,1,Independent Study in Dance,1,,Ind,,-,To Be Arranged ,Laura Lloyd,-1,CLOSED,,0,1,Full Time,Fall Semester 2023
3131,PSYC 315,ON1,Psychology-Abnormal Behavior,3,,Lec,MTWRF,1000-1230,Hybrid Online Course ,Earl Riggins,12,OPEN,,19,7,Adjunct,Summer Term I 2023
8551,BIOL 300,1,Biostats-Statstcl App Life Sci,3,,Lec,TR,0800-0915,Forbes Hall 2090,Drew Velkey,-4,CLOSED,,14,18,Full Time,Spring Semester 2024
8728,CPSC 336,1,Network Implementation & Admin,3,PROF,Lec,TR,1330-1445,Joseph W. Luter III Hall 323,Chris Kreider,0,CLOSED,,24,24,Full Time,Fall Semester 2023
8346,CRIM 357,2,Incarceration and Punishment,3,,Lec,TR,1500-1615,Joseph W. Luter III Hall ,Steven Keener,24,OPEN,,24,0,Full Time,Spring Semester 2027
4013,TCHG 543,4,Classroom Mgmt and Discipline,2,,Lec,TWR,1015-1230,Lewis McMurran Hall 262,Nathan Cabello,5,OPEN,,18,13,Adjunct,Summer Term 2 2022
8677,MUSC 250,1,String Instrument Techniques,1,LETR,Lab,MWF,0900-0950,Ferguson Center for the Arts A182,Mark Johnson,4,OPEN,,19,15,Full Time,Spring Semester 2025
8563,FNAR 205,1,Digital Photography,3,AICE,Stu,MW,1400-1620,Torggler Fine Arts Center 219,Kevin Larkin,2,OPEN,,16,14,Adjunct,Fall Semester 2025
9255,VOIC 333,1,Applied Music: Voice,2,APPL,Lab,,-,To Be Arranged ,Rachel Holland,-1,CLOSED,,0,1,Full Time,Fall Semester 2026
8140,ENGL 326,1,WI: Writing about Environment,3,"LOW, WI",Lec,TR,0930-1045,Lewis McMurran Hall 216,Andrew Rose,3,OPEN,YES,19,16,Full Time,Spring Semester 2024
8132,BIOL 313,2,Genetics,3,,Lec,MWF,1100-1150,Forbes Hall ,Anna Salazar,95,OPEN,,95,0,Full Time,Spring Semester 2027
8422,BUSN 101,1M,Introduction to Business,3,,Lec,TR,0930-1045,Joseph W. Luter III Hall 121,Willy Donaldson,0,CLOSED,,49,49,Full Time,Fall Semester 2025
8551,FNAR 117,2,3D Design,3,,Stu,TR,1400-1620,Torggler Fine Arts Center 119,Greg Henry,1,OPEN,,16,15,Full Time,Fall Semester 2025
8818,MGMT 355,ON2,Management Science,3,,Lec,TR,1330-1445,Synchronous Online Course ,Bob Hasbrouck,0,CLOSED,,38,38,Full Time,Spring Semester 2021
9163,LDSP 320,3,Leadership Through the Ages,3,,Lec,MWF,1100-1150,Forbes Hall 3014,Brent Cusher,1,OPEN,,26,25,Full Time,Fall Semester 2021
8094,BIOL 313,1,Genetics,3,,Lec,TR,1800-1915,Forbes Hall ,Dave Knight,95,OPEN,,95,0,Adjunct,Spring Semester 2027
8345,CRIM 357,1,Incarceration and Punishment,3,,Lec,TR,1330-1445,Joseph W. Luter III Hall ,Steven Keener,24,OPEN,,24,0,Full Time,Spring Semester 2027
8919,THEA 336,1,Fundamentals of Play Directing,3,LETR,Lec,TR,1100-1215,Ferguson Center for the Arts T107,Denise Gillman,0,CLOSED,,14,14,Full Time,Spring Semester 2022
9462,MLSC 202L,2,Leadership Lab,1,,Ind,,-,To Be Arranged ,Ronald McBroom-Teasley,-1,CLOSED,,0,1,Adjunct,Spring Semester 2021
8495,HONR 020,1,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,3,OPEN,,49,46,Full Time,Spring Semester 2025
2067,PHIL 326,ON1,WI: Philosophy in the Movies,3,"LETR, LOW, WI",Lec,,-,Asynchronous Online Course ,Eric Silverman,2,OPEN,YES,18,16,Full Time,May Term 2024
8380,MKTG 460,1,Integrated Marketing Communic,3,,Lec,TR,1630-1745,Joseph W. Luter III Hall 264,Dae-Hee Kim,-7,CLOSED,,15,22,Full Time,Fall Semester 2023
